"","ID","Sample_Environment","Gender","Age","RT_Mirror_0","RT_Mirror_60","RT_Mirror_120","RT_Mirror_180","RT_Mirror_240","RT_Mirror_300","RT_Normal_0","RT_Normal_60","RT_Normal_120","RT_Normal_180","RT_Normal_240","RT_Normal_300","Error_rates_Mirror_0","Error_rates_Mirror_60","Error_rates_Mirror_120","Error_rates_Mirror_180","Error_rates_Mirror_240","Error_rates_Mirror_300","Error_rates_Normal_0","Error_rates_Normal_60","Error_rates_Normal_120","Error_rates_Normal_180","Error_rates_Normal_240","Error_rates_Normal_300"
"83","S34","STU","F",19,425.31,461.53,714.77,538.67,574.59,503.81,307.56,333.54,748.83,887.85,509.95,409.4,0,0,0.17,0,0.17,0,0,0,0,0.17,0,0
"84","S35","STU","M",22,616.54,903.34,725.77,675.07,833.27,786.1,397.07,471.73,550.54,946.92,801.81,489.52,0,0,0,0,0,0,0,0,0,0.33,0,0
"85","S36","STU","F",20,529.99,570.67,641.96,632.59,604.91,480.99,435.7,425.2,912.85,933.76,483.4,510.61,0,0,0,0,0,0,0,0,0.17,0.17,0,0
"86","S37","STU","F",22,478.55,688.04,570.16,536.96,911.43,787.34,527.82,625.88,742.95,801,602.56,810.1,0,0,0,0,0,0,0,0,0.17,0.83,0.17,0
"87","S38","STU","F",20,880.44,1115.2,1351.25,1602.23,1337.94,848.89,485.25,718.37,556.32,1453.93,629.62,630.86,0,0,0,0,0,0,0,0,0,0,0,0
"88","S39","STU","F",21,863.93,1771.21,1698.66,3528.61,2317.08,700.74,461.49,595.38,953.86,1571.92,1213.62,540.85,0,0,0.17,0,0,0,0,0.17,0,0,0,0
"89","S40","STU","F",21,339.98,336,346.58,546.16,321.41,240.07,203.01,268.56,330.4,398.46,271.41,205.03,0,0,0,0,0,0,0,0,0,0.17,0,0
"90","S41","STU","M",21,544.65,694.99,459.98,989.23,1064.33,923.41,481.47,363.38,520.57,1147.56,861.81,414.77,0.17,0,0,0,0,0,0,0,0,0.17,0.33,0
"91","S42","STU","M",21,565.54,700.53,898.18,1499.34,899.63,671.95,489.28,516.08,780.55,804.85,747.4,519.93,0,0,0,0,0.17,0,0,0,0,0,0,0
"92","S44","STU","M",22,412.61,722.02,587.99,641.69,601.82,518.3,287.07,457.79,565.88,500.57,514.55,477.62,0,0,0,0,0,0,0,0,0,0.33,0,0
